ID,Paragraph A,Paragraph B,,,,,,,,,,Multi hop question
jrs,"Dr. Soto’s research centers on the modeling of coupled natural-human systems at different spatial and temporal scales—for both fundamental insight and practical real-world applications. His current focus involves the use of non-market valuation and survey-based methodologies to examine ecosystem services, which are embedded in complex, social-ecological systems. He collaborates with natural scientists, along with local, state, and federal land managers to investigate issues related to wildlife, climate change, forest water yield, carbon sequestration, and invasive species. ","Dr. Soto’s research centers on the modeling of coupled natural-human systems at different spatial and temporal scales—for both fundamental insight and practical real-world applications. His current focus involves the use of non-market valuation and survey-based methodologies to examine ecosystem services, which are embedded in complex, social-ecological systems. He collaborates with natural scientists, along with local, state, and federal land managers to investigate issues related to wildlife, climate change, forest water yield, carbon sequestration, and invasive species. ",,,,,,,,,,
jvanhare,"A broadly trained earth scientist, Joost van Haren has researched topics from 40km deep in the earth’s crust (BSc Utrecht University and MSc Yale University) to soil-plant-atmosphere interactions (PhD University of Arizona). Joost came to Arizona in 1995 to run the analytical facilities at Biosphere 2. For his PhD. he investigated the influence of plant species on the production of greenhouse gases by soil bacteria in highly diverse tropical forests of Brazil. Currently, Joost is an assistant research professor at UofA’s Biosphere 2, where he investigates carbon uptake by weathering of basalt in the Landscape Evolution Observatory and drought effects on carbon cycling rates in the tropical rainforest. His teaching interest lies most with hands-on teaching programs, such as the tropical ecosystem field course in the Amazon basin and research experiences for high school and undergraduate students at Biosphere 2. He teaches an ecosystem cycling course to integrated science majors and a class exploring our human impact on planet Earth.","A broadly trained earth scientist, Joost van Haren has researched topics from 40km deep in the earth’s crust (BSc Utrecht University and MSc Yale University) to soil-plant-atmosphere interactions (PhD University of Arizona). Joost came to Arizona in 1995 to run the analytical facilities at Biosphere 2. For his PhD. he investigated the influence of plant species on the production of greenhouse gases by soil bacteria in highly diverse tropical forests of Brazil. Currently, Joost is an assistant research professor at UofA’s Biosphere 2, where he investigates carbon uptake by weathering of basalt in the Landscape Evolution Observatory and drought effects on carbon cycling rates in the tropical rainforest. His teaching interest lies most with hands-on teaching programs, such as the tropical ecosystem field course in the Amazon basin and research experiences for high school and undergraduate students at Biosphere 2. He teaches an ecosystem cycling course to integrated science majors and a class exploring our human impact on planet Earth.",,,,,,,,,,
ihakim,"Iman Hakim, MBBCh, PhD, MPH, is a professor of public health and the Dean of the University of Arizona Mel and Enid Zuckerman College of Public Health (MEZCOPH). Dr. Hakim is the Mel & Enid Zuckerman Endowed Chair in Public Health and the founding director of the Global Health Institute. She also has served as the Director of the Department of Health Promotion Sciences at MEZCOPH and as the director of family and child health concentration. She is a member of the UA Cancer Center and Sarver Heart Center at the UA College of Medicine. She holds joint appointments in the Department of Nutrition at the UA College of Agriculture and Life Sciences and in the Department of Family and Community Medicine at the UA College of Medicine.

She is internationally known for her translational research and work on the role of bioactive food compounds  such as green tea and limonene in modulation of oxidative damage and prevention of chronic diseases such as cancer and cardiovascular diseases. Her research focuses on health promotion, dietary interventions, and the role of gene-environment and gene-nutrition interactions in chronic disease prevention.

She has been the Principal Investigator of several large-scale, behavior change interventions and clinical trials focused on nutrition and cancer prevention, tea consumption and coronary heart disease, chemoprevention of lung carcinogenesis using green tea; dietary interventions to study the effects of tea consumption on smoking-related oxidative stress and role of citrus-cancer association in Mediterranean diet.

Dr. Hakim has spoken at numerous national and international conferences and she has been recently selected to join a panel of international health experts as a member of the Healthy Roads International Advisory Committee. She is currently the chair of the Arizona Biomedical Research Commission and a member of Arizona Healthy aging advisory group.

Dr. Hakim earned her medical degree from Cairo University in Egypt where she completed her Pediatric residency. She received her PhD in in child health and nutrition from Ain-Shams University in Cairo, Egypt, and her Master of Public Health degree from the University of Arizona.","Iman Hakim, MBBCh, PhD, MPH, is a professor of public health and the Dean of the University of Arizona Mel and Enid Zuckerman College of Public Health (MEZCOPH). Dr. Hakim is the Mel & Enid Zuckerman Endowed Chair in Public Health and the founding director of the Global Health Institute. She also has served as the Director of the Department of Health Promotion Sciences at MEZCOPH and as the director of family and child health concentration. She is a member of the UA Cancer Center and Sarver Heart Center at the UA College of Medicine. She holds joint appointments in the Department of Nutrition at the UA College of Agriculture and Life Sciences and in the Department of Family and Community Medicine at the UA College of Medicine.

She is internationally known for her translational research and work on the role of bioactive food compounds  such as green tea and limonene in modulation of oxidative damage and prevention of chronic diseases such as cancer and cardiovascular diseases. Her research focuses on health promotion, dietary interventions, and the role of gene-environment and gene-nutrition interactions in chronic disease prevention.

She has been the Principal Investigator of several large-scale, behavior change interventions and clinical trials focused on nutrition and cancer prevention, tea consumption and coronary heart disease, chemoprevention of lung carcinogenesis using green tea; dietary interventions to study the effects of tea consumption on smoking-related oxidative stress and role of citrus-cancer association in Mediterranean diet.

Dr. Hakim has spoken at numerous national and international conferences and she has been recently selected to join a panel of international health experts as a member of the Healthy Roads International Advisory Committee. She is currently the chair of the Arizona Biomedical Research Commission and a member of Arizona Healthy aging advisory group.

Dr. Hakim earned her medical degree from Cairo University in Egypt where she completed her Pediatric residency. She received her PhD in in child health and nutrition from Ain-Shams University in Cairo, Egypt, and her Master of Public Health degree from the University of Arizona.",,,,,,,,,,
rabi,,,,,,,,,,,,
gabrad,"Dr. Bradley is a native of Arizona.  He began his veterinary career as an associate In large animal and mixed animal practice in New Mexico and Arizona and owned a mixed animal practice in northern Arizona for six years.  He subsequently did a residency in anatomic pathology followed by a time on the faculty at the University of Wisconsin before taking a diagnostic pathology position in the Arizona Veterinary Diagnostic Laboratory in 1991.  He served as the laboratory director for thirteen years from 2003-2016. He has broad interests in diagnostic pathology including the pathology of wild and exotic animals, avian, livestock and companion animals.","Dr. Bradley is a native of Arizona.  He began his veterinary career as an associate In large animal and mixed animal practice in New Mexico and Arizona and owned a mixed animal practice in northern Arizona for six years.  He subsequently did a residency in anatomic pathology followed by a time on the faculty at the University of Wisconsin before taking a diagnostic pathology position in the Arizona Veterinary Diagnostic Laboratory in 1991.  He served as the laboratory director for thirteen years from 2003-2016. He has broad interests in diagnostic pathology including the pathology of wild and exotic animals, avian, livestock and companion animals.",,,,,,,,,,
kbreathett,"Khadijah Breathett, MD, MS, is an assistant professor in the UA College of Medicine - Tucson, Division of Cardiology, a member of the UA Sarver Heart Center and a heart failure specialist with the Advanced Heart Failure, Mechanical Circulatory Support and Cardiac Transplantation Team at Banner - University Medical Center Tucson.

She is board certified in internal medicine, cardiology and advanced heart failure and transplant cardiology. In 2018, she also was named a Fellow of the American College of Cardiology, American Heart Association and the Heart Failure Society of America.

Dr. Breathett's clinical interests include heart failure, cardiac transplantation, mechanical circulatory devices, and women's health.","Khadijah Breathett, MD, MS, is an assistant professor in the UA College of Medicine - Tucson, Division of Cardiology, a member of the UA Sarver Heart Center and a heart failure specialist with the Advanced Heart Failure, Mechanical Circulatory Support and Cardiac Transplantation Team at Banner - University Medical Center Tucson.

She is board certified in internal medicine, cardiology and advanced heart failure and transplant cardiology. In 2018, she also was named a Fellow of the American College of Cardiology, American Heart Association and the Heart Failure Society of America.

Dr. Breathett's clinical interests include heart failure, cardiac transplantation, mechanical circulatory devices, and women's health.",,,,,,,,,,
stafforc,,,,,,,,,,,,
dyadenjr,"David B. Yaden Jr. (Ph.D., University of Oklahoma) is Professor of Language, Reading and Culture at the UA College of Education. Prior to his present position at UA, he held appointments at Emory University, the University of Houston, and the University of Southern California. He has been a principal investigator in the federally-funded Center for the Improvement of Early Reading Achievement (CIERA) where he supervised the implementation of an early literacy curriculum for Spanish-speaking preschoolers in inner-city Los Angeles. His research interests and specializations include developmental issues in early childhood education, the acquisition of literacy and biliteracy in young children, family literacy, theories of reading disability and the application of complex adaptive systems theory to growth in reading and writing.","David B. Yaden Jr. (Ph.D., University of Oklahoma) is Professor of Language, Reading and Culture at the UA College of Education. Prior to his present position at UA, he held appointments at Emory University, the University of Houston, and the University of Southern California. He has been a principal investigator in the federally-funded Center for the Improvement of Early Reading Achievement (CIERA) where he supervised the implementation of an early literacy curriculum for Spanish-speaking preschoolers in inner-city Los Angeles. His research interests and specializations include developmental issues in early childhood education, the acquisition of literacy and biliteracy in young children, family literacy, theories of reading disability and the application of complex adaptive systems theory to growth in reading and writing.",,,,,,,,,,
gcrogers,,,,,,,,,,,,
gpnabhan,"Gary Nabhan, Ph.D., W.K. Kellogg Chair in Southwest Borderlands Food and Water Security,  is an ethnobiologist, agroecologist, conservation biologist and cultural geographer trained at the University of Arizona and Prescott College. He is author or editor of 26 books translated into 6 languages, a number of which have won awards. In addition to his research, teaching and community service on sustainable food systems, Nabhan farms during the summer in Patagonia, Arizona. Political Ecology of Food, Conservation Ranching and Ecosystem Services, Traditional Ecological Knowledge, Sustainable Food Systems, and Science Writing. Current Projects: Tumamoc Hill phenology change; Sonoran Desert oasis initiative (with Susie and Paul Fish); Sabores Sin Fronteras Foodways Alliance; Stitching the West Back Together working landscapes initiative (with Tom Sheridan and Susan Charnley); biodiversity of desert oases (with Rafael Routson and Amadeo Rea); Renewing America's Food Traditions agrobiodiversity inventory (with Collaborative, American Livestock Breeds Conservancy and Western Folklife Center); climate change adaptation and agrobiodiversity (with the University of Arizona Institute for the Environment).","Gary Nabhan, Ph.D., W.K. Kellogg Chair in Southwest Borderlands Food and Water Security,  is an ethnobiologist, agroecologist, conservation biologist and cultural geographer trained at the University of Arizona and Prescott College. He is author or editor of 26 books translated into 6 languages, a number of which have won awards. In addition to his research, teaching and community service on sustainable food systems, Nabhan farms during the summer in Patagonia, Arizona. Political Ecology of Food, Conservation Ranching and Ecosystem Services, Traditional Ecological Knowledge, Sustainable Food Systems, and Science Writing. Current Projects: Tumamoc Hill phenology change; Sonoran Desert oasis initiative (with Susie and Paul Fish); Sabores Sin Fronteras Foodways Alliance; Stitching the West Back Together working landscapes initiative (with Tom Sheridan and Susan Charnley); biodiversity of desert oases (with Rafael Routson and Amadeo Rea); Renewing America's Food Traditions agrobiodiversity inventory (with Collaborative, American Livestock Breeds Conservancy and Western Folklife Center); climate change adaptation and agrobiodiversity (with the University of Arizona Institute for the Environment).",,,,,,,,,,
jburt,,,,,,,,,,,,
dieckman,,,,,,,,,,,,
wulfilag,,,,,,,,,,,,
chunly,,,,,,,,,,,,
janebambauer,,,,,,,,,,,,
selmin,"Dr. Selmin is a Research Associate Professor in the Department of Nutritional Sciences and is a member of BIO5 Research Institute, Center for Toxicology, Southwest Environmental Health Sciences Center, and Sarver Heart Center at The University of Arizona. Her research program has been funded by grants from the National Institute of Health, the US Department of Defense, and the Arizona Biomedical Research Commission. Dr. Selmin’s research program focuses on mechanisms of environmental carcinogenesis and toxicity. Specific research areas include mechanisms of regulation of expression of proinflammatory and tumor suppressor genes by environmental xenobiotics, mechanisms of epigenetic regulation in breast and colon cancer, and role of diet-nuclear receptor interactions in differentiation and development. Dr. Selmin has served as a scientific reviewer for the National Institute of Health, the National Science Foundation, and The Arizona Biomedical Research Commission, and other national funding agencies.","Dr. Selmin is a Research Associate Professor in the Department of Nutritional Sciences and is a member of BIO5 Research Institute, Center for Toxicology, Southwest Environmental Health Sciences Center, and Sarver Heart Center at The University of Arizona. Her research program has been funded by grants from the National Institute of Health, the US Department of Defense, and the Arizona Biomedical Research Commission. Dr. Selmin’s research program focuses on mechanisms of environmental carcinogenesis and toxicity. Specific research areas include mechanisms of regulation of expression of proinflammatory and tumor suppressor genes by environmental xenobiotics, mechanisms of epigenetic regulation in breast and colon cancer, and role of diet-nuclear receptor interactions in differentiation and development. Dr. Selmin has served as a scientific reviewer for the National Institute of Health, the National Science Foundation, and The Arizona Biomedical Research Commission, and other national funding agencies.",,,,,,,,,,
sherib,"Dr. Sheri Bauman is a professor of counseling at the University of Arizona.  She earned her Ph.D. in counseling psychology from New Mexico State University in 1999. Prior to earning her doctorate in 1999, she worked in public schools for 30 years, 18 of those as a school counselor. She is also a licensed psychologist (currently inactive). Dr. Bauman conducts research on bullying, cyberbullying, and peer victimization, and also studies teacher responses to bullying. She is a frequent presenter on these topics at local, state, national, and international conferences. She is the sole author/editor or first author of six books, third author of another book, and has over 65 publications in peer-reviewed journals, many book chapters, three training dvds, and numerous other publications. She is the former editor of the Journal for Specialists in Group Work and has co-edited three special issues related to bullying and cyberbullying. She is on the editorial board of two scholarly journals. She was honored with the Eminent Career Award from the Association for Specialists in Group Work in 2018.  She has been the recipient of two research grants from the National Science Foundation. She is on the board of trustees of DitchtheLabel.org, an anti-bullying charity, and serves as their research consultant.","Dr. Sheri Bauman is a professor of counseling at the University of Arizona.  She earned her Ph.D. in counseling psychology from New Mexico State University in 1999. Prior to earning her doctorate in 1999, she worked in public schools for 30 years, 18 of those as a school counselor. She is also a licensed psychologist (currently inactive). Dr. Bauman conducts research on bullying, cyberbullying, and peer victimization, and also studies teacher responses to bullying. She is a frequent presenter on these topics at local, state, national, and international conferences. She is the sole author/editor or first author of six books, third author of another book, and has over 65 publications in peer-reviewed journals, many book chapters, three training dvds, and numerous other publications. She is the former editor of the Journal for Specialists in Group Work and has co-edited three special issues related to bullying and cyberbullying. She is on the editorial board of two scholarly journals. She was honored with the Eminent Career Award from the Association for Specialists in Group Work in 2018.  She has been the recipient of two research grants from the National Science Foundation. She is on the board of trustees of DitchtheLabel.org, an anti-bullying charity, and serves as their research consultant.",,,,,,,,,,
inomata,"Takeshi Inomata is an archaeologist who studies Maya civilization, social change, warfare, architecture, and ceramics. He has worked at the Maya sites of Aguateca and Ceibal, Guatemala, and in the Middle Usumacinta region, Tabasco, Mexico","Takeshi Inomata is an archaeologist who studies Maya civilization, social change, warfare, architecture, and ceramics. He has worked at the Maya sites of Aguateca and Ceibal, Guatemala, and in the Middle Usumacinta region, Tabasco, Mexico",,,,,,,,,,
ltomasa,"Dr. Tomasa grew up in Honolulu, Hawaii and received her MSW from the University of Hawaii. Shortly after graduation, she moved to Tucson with her husband and joined the department in 1987. She received her PhD in Higher Education with a minor in Gerontology from the University of Arizona. Dr. Tomasa has been involved in both graduate and undergraduate medical education. Her current areas of focus include: interprofessional education, older caregivers and adults with developmental disabilities, geriatrics education, and both curriculum and program evaluation. She enjoys tennis, sewing, listening to chamber music, and spending time with her husband (and family) and dogs.","Dr. Tomasa grew up in Honolulu, Hawaii and received her MSW from the University of Hawaii. Shortly after graduation, she moved to Tucson with her husband and joined the department in 1987. She received her PhD in Higher Education with a minor in Gerontology from the University of Arizona. Dr. Tomasa has been involved in both graduate and undergraduate medical education. Her current areas of focus include: interprofessional education, older caregivers and adults with developmental disabilities, geriatrics education, and both curriculum and program evaluation. She enjoys tennis, sewing, listening to chamber music, and spending time with her husband (and family) and dogs.",,,,,,,,,,
adaw,"Ada Wilkinson-Lee, is an Associate Professor in the Department of Mexican American Studies at the University of Arizona. She is currently Acting Department Head for the 2020-2021 school year. She completed her postdoctoral work as a WARMER Fellow with the National Center of Excellence in Women’s Health at the University of Arizona. Both her Ph.D. and Master’s degrees are from the University of Arizona. She received her Ph.D. is in Family Studies and Human Development with a focus on culture, health and families. Her Master’s degree is in Mexican American Studies with an emphasis in Latino Health. Her research, teaching and service are centered on addressing Latino health from a community-based participatory action (CBPA) research perspective. Current and future research endeavors consist of a continuation of addressing Latino health disparities from a social psychological perspective utilizing mixed methods and innovative methodology including digital story analysis. Her interest in Latino health has stemmed from growing up in a border community and seeing firsthand the challenges that her family and community have to overcome in order to receive adequate health care. She has published articles that focus on Latino parent-adolescent communication, adolescent emotional distress, provider cultural sensitivity, and how to conduct translational studies to improve access to health care services among underserved reproductive aged women through the dissemination of health information and resources via promotoras (lay health worker). ","Ada Wilkinson-Lee, is an Associate Professor in the Department of Mexican American Studies at the University of Arizona. She is currently Acting Department Head for the 2020-2021 school year. She completed her postdoctoral work as a WARMER Fellow with the National Center of Excellence in Women’s Health at the University of Arizona. Both her Ph.D. and Master’s degrees are from the University of Arizona. She received her Ph.D. is in Family Studies and Human Development with a focus on culture, health and families. Her Master’s degree is in Mexican American Studies with an emphasis in Latino Health. Her research, teaching and service are centered on addressing Latino health from a community-based participatory action (CBPA) research perspective. Current and future research endeavors consist of a continuation of addressing Latino health disparities from a social psychological perspective utilizing mixed methods and innovative methodology including digital story analysis. Her interest in Latino health has stemmed from growing up in a border community and seeing firsthand the challenges that her family and community have to overcome in order to receive adequate health care. She has published articles that focus on Latino parent-adolescent communication, adolescent emotional distress, provider cultural sensitivity, and how to conduct translational studies to improve access to health care services among underserved reproductive aged women through the dissemination of health information and resources via promotoras (lay health worker). ",,,,,,,,,,
monicaschmidt,,,,,,,,,,,,
aubinmoutal,,,,,,,,,,,,
pmilne,"Peter studies the optical counterparts of Gamma Ray Bursts. He is a co-investigator on the Super-LOTIS (Livermore Optical Transient Imaging System), a robotic telescope that searches for these objects. He also works in the emerging field of positron astrophysics.","Peter studies the optical counterparts of Gamma Ray Bursts. He is a co-investigator on the Super-LOTIS (Livermore Optical Transient Imaging System), a robotic telescope that searches for these objects. He also works in the emerging field of positron astrophysics.",,,,,,,,,,
zliu,"Dr. Liu is a Research Professor of Medical Imaging at University of Arizona. He has thirty years of research experience in nuclear medicine and molecular imaging with a long track record of characterizing and developing molecular imaging probes for studying molecular events of human disease. He has achieved in his research projects to radiolabel investigational drugs, antibodies, and peptides using Tc-99m, In-111, and I-125 for molecular imaging. As Director for Services in the Center for Gamma-Ray Imaging funded by NIH/NIBIB P-41 grant, he plays a significant role in disseminating of the latest technologies in gamma-ray and direct positron/electron imaging and making them available to a wide community of biomedical researchers.","Dr. Liu is a Research Professor of Medical Imaging at University of Arizona. He has thirty years of research experience in nuclear medicine and molecular imaging with a long track record of characterizing and developing molecular imaging probes for studying molecular events of human disease. He has achieved in his research projects to radiolabel investigational drugs, antibodies, and peptides using Tc-99m, In-111, and I-125 for molecular imaging. As Director for Services in the Center for Gamma-Ray Imaging funded by NIH/NIBIB P-41 grant, he plays a significant role in disseminating of the latest technologies in gamma-ray and direct positron/electron imaging and making them available to a wide community of biomedical researchers.",,,,,,,,,,
emharvey,,,,,,,,,,,,
miller47,"Marc L. Miller is the Dean & Ralph W. Bilby Professor of Law at the University of Arizona College of Law. Dean Miller taught at Emory University Law School from 1988-2005, where he served as Associate Dean for Faculty and Scholarship (2003-2005). He is a graduate of the University of Chicago Law School and Pomona College, and grew up in Los Angeles.

Dean Miller writes and teaches about environmental law and policy and criminal law and policy. He is the author of more than 70 articles and essays on a wide range of environmental, criminal justice, immigration and legal theory topics. He is editor of several casebooks on criminal procedure and sentencing, and co-founded the Federal Sentencing Reporter, the leading journal on sentencing law and policy and a joint project of the Vera Institute of Justice and the University of California Press. He currently serves as a series editor for Summits - books focused on the intersection of environmental science, law, and policy.

Dean Miller's scholarship addresses the nature of law. On the criminal side, current work includes a series of articles on the role and regulation of prosecutorial discretion, including a multi-year empirical evaluation of prosecutorial decision-making. At a more general theoretical level, this work deals with policymaking within executive branch agencies, especially in those areas not readily amenable to external judicial or legislative review. His environmental work highlights topics at the intersection of environmental science, policy, and law with special attention to the concept of sustainability and to the relationship between science and environmental policy-making. Much of his environmental work is done in collaboration with natural and social scientists.

At Arizona, Dean Miller serves as co-director of the Arizona Law Program in Criminal Law and Policy, and has joint and affiliated appointments with the University of Arizona Institute of the Environment, the Environmental Health Sciences Program of the University of Arizona Zuckerman School of Public Health, and with the Global Change PhD minor, among other programs and institutes. He serves on various university committees, including a workgroup through the McGuire Center for Entrepreneurship at the Eller College of Management to create a new Masters program focusing on capitalizing ventures. He also serves on the steering committee developing a new graduate degree certificate program in American Indian natural resource, and as Associate Director for Interdisciplinary Education for the Arizona Telemedicine Program.

Before teaching, Dean Miller served as law clerk to Chief Judge John Godbold of the U.S. Court of Appeals for the Eleventh Circuit, as Attorney-Advisor in the Office of Legal Counsel of the U.S. Department of Justice, and as Special Counsel at the Vera Institute of Justice in New York. Dean Miller has been a visiting professor at Stanford Law School and Duke Law School. Dean Miller is a member of the American Law Institute (ALI), and an advisor to various criminal justice and environmental publications and organizations.","Marc L. Miller is the Dean & Ralph W. Bilby Professor of Law at the University of Arizona College of Law. Dean Miller taught at Emory University Law School from 1988-2005, where he served as Associate Dean for Faculty and Scholarship (2003-2005). He is a graduate of the University of Chicago Law School and Pomona College, and grew up in Los Angeles.

Dean Miller writes and teaches about environmental law and policy and criminal law and policy. He is the author of more than 70 articles and essays on a wide range of environmental, criminal justice, immigration and legal theory topics. He is editor of several casebooks on criminal procedure and sentencing, and co-founded the Federal Sentencing Reporter, the leading journal on sentencing law and policy and a joint project of the Vera Institute of Justice and the University of California Press. He currently serves as a series editor for Summits - books focused on the intersection of environmental science, law, and policy.

Dean Miller's scholarship addresses the nature of law. On the criminal side, current work includes a series of articles on the role and regulation of prosecutorial discretion, including a multi-year empirical evaluation of prosecutorial decision-making. At a more general theoretical level, this work deals with policymaking within executive branch agencies, especially in those areas not readily amenable to external judicial or legislative review. His environmental work highlights topics at the intersection of environmental science, policy, and law with special attention to the concept of sustainability and to the relationship between science and environmental policy-making. Much of his environmental work is done in collaboration with natural and social scientists.

At Arizona, Dean Miller serves as co-director of the Arizona Law Program in Criminal Law and Policy, and has joint and affiliated appointments with the University of Arizona Institute of the Environment, the Environmental Health Sciences Program of the University of Arizona Zuckerman School of Public Health, and with the Global Change PhD minor, among other programs and institutes. He serves on various university committees, including a workgroup through the McGuire Center for Entrepreneurship at the Eller College of Management to create a new Masters program focusing on capitalizing ventures. He also serves on the steering committee developing a new graduate degree certificate program in American Indian natural resource, and as Associate Director for Interdisciplinary Education for the Arizona Telemedicine Program.

Before teaching, Dean Miller served as law clerk to Chief Judge John Godbold of the U.S. Court of Appeals for the Eleventh Circuit, as Attorney-Advisor in the Office of Legal Counsel of the U.S. Department of Justice, and as Special Counsel at the Vera Institute of Justice in New York. Dean Miller has been a visiting professor at Stanford Law School and Duke Law School. Dean Miller is a member of the American Law Institute (ALI), and an advisor to various criminal justice and environmental publications and organizations.",,,,,,,,,,
indik,,,,,,,,,,,,
kcunha,,,,,,,,,,,,
coullb,"Research InterestsDr. Coull’s areas of interest are stroke, vascular neurology and MS, focusing on causes and treatments for acute stroke and intracerebral hemorrhage. Dr. Coull is author and co-author of over 130 peer-reviewed journals, book chapters and other publications.Honors and AwardsVoted one of the ""Best Doctors in America"" 2008, 2009, 2010, 2011, 2013, 2014William M. Feinberg, MD Endowed Chair in Stroke Research","Research InterestsDr. Coull’s areas of interest are stroke, vascular neurology and MS, focusing on causes and treatments for acute stroke and intracerebral hemorrhage. Dr. Coull is author and co-author of over 130 peer-reviewed journals, book chapters and other publications.Honors and AwardsVoted one of the ""Best Doctors in America"" 2008, 2009, 2010, 2011, 2013, 2014William M. Feinberg, MD Endowed Chair in Stroke Research",,,,,,,,,,
dgmarrero,"As Executive Director of the UAHS Center for Elimination of Border Health Disparities (CEBHD), Dr. Marrero provides leadership to build strong collaborations with other UAHS centers, such as the Center for Population Science and Discovery; the Center for Elimination of Disparities in Diabetes, Obesity and Metabolism; the Center for Applied Genetics and Genomic Medicine; and the Center for Biomedical Informatics and Biostatistics. CEBHD is building extensive collaborative efforts to affect treatment of type 2 diabetes in border populations. Working with the Banner – University Medical Group practices in Phoenix and Tucson, representatives from local federally qualified health centers, Arizona Area Health Education Centers (AzAHEC) and other UAHS centers to improve treatments for Type 2 diabetes patients. CEBHD is also establishing Regional Arizona Centers of Excellence in Clinical Research (RACER) sites in Yuma and Nogales to provide mental health services for individuals with diabetes and to develop culturally appropriate and relevant training programs.","As Executive Director of the UAHS Center for Elimination of Border Health Disparities (CEBHD), Dr. Marrero provides leadership to build strong collaborations with other UAHS centers, such as the Center for Population Science and Discovery; the Center for Elimination of Disparities in Diabetes, Obesity and Metabolism; the Center for Applied Genetics and Genomic Medicine; and the Center for Biomedical Informatics and Biostatistics. CEBHD is building extensive collaborative efforts to affect treatment of type 2 diabetes in border populations. Working with the Banner – University Medical Group practices in Phoenix and Tucson, representatives from local federally qualified health centers, Arizona Area Health Education Centers (AzAHEC) and other UAHS centers to improve treatments for Type 2 diabetes patients. CEBHD is also establishing Regional Arizona Centers of Excellence in Clinical Research (RACER) sites in Yuma and Nogales to provide mental health services for individuals with diabetes and to develop culturally appropriate and relevant training programs.",,,,,,,,,,
ykaneda,"Solid-state lasers.
Optically pumped semiconductor lasers.
Fiber lasers.
Nonlinear frequency conversion.","Solid-state lasers.
Optically pumped semiconductor lasers.
Fiber lasers.
Nonlinear frequency conversion.",,,,,,,,,,
xwu,"Xiaoyi Wu, PhD, works with biomechanics and biomaterials extensively. Tissue engineering is a primary focus of his work. In addition, he applies computational analysis to his studies of biomaterials.","Xiaoyi Wu, PhD, works with biomechanics and biomaterials extensively. Tissue engineering is a primary focus of his work. In addition, he applies computational analysis to his studies of biomaterials.",,,,,,,,,,
jwarneke,"James A. Warneke, MD, FACS, is a professor in the Department of Surgery, Division of General Surgery. He joined the faculty at the University of Arizona's College of Medicine in the Department of Surgery, Section of Surgical Oncology in 1991.","James A. Warneke, MD, FACS, is a professor in the Department of Surgery, Division of General Surgery. He joined the faculty at the University of Arizona's College of Medicine in the Department of Surgery, Section of Surgical Oncology in 1991.",,,,,,,,,,
silva,"Asthma, Chronic Obstructive Pulmonary Diseases,Sleep and Sleep Disordered Breathing, Longitudinal Decline of Lung Function, Mixed Models, Random Effects Analyses, and Longitudinal Analyses.","Asthma, Chronic Obstructive Pulmonary Diseases,Sleep and Sleep Disordered Breathing, Longitudinal Decline of Lung Function, Mixed Models, Random Effects Analyses, and Longitudinal Analyses.",,,,,,,,,,
mperfect,"Dr. Perfect is an Assistant Professor in the School Psychology Program at the University of Arizona. Dr. Perfect received her doctorate in Educational Psychology (specialization: School Psychology) from the University of Texas at Austin and her Masters degree in Psychology from the New York University. She completed her APA-accredited pre-doctoral psychology internship at the University of Medicine and Dentistry in Newark, NJ. Afterward, she completed postdoctoral fellowships in pediatric psychology at the University of Texas Medical Branch in Galveston, TX and in health psychology and biostatistics at Scott & White Memorial Hospital in Temple, TX. She has also taken postdoctoral coursework in psychopharmacology. Her research focuses on the intersection of physical and mental health, with a particular focus on the impact of sleep and pediatric chronic illnesses on school, mental health, and neurobehavioral functioning. Dr. Perfect also engages in research and service activities aimed at addressing the educational and behavioral health needs of youth who have been maltreated or experienced trauma, preparing school psychologists to be competent to provide school and community mental health services to children and families, and to participate in general health promotion (e.g., sleep, obesity prevention, sexual health). In particular, she applies a positive psychology framework that examines resiliency in the face of adversities and mind-body interventions (e.g., Hypnosis, Mindfulness-Based Stress Reduction) that can promote the well-being in children. Dr. Perfect's teaching interests are in development, early childhood, therapy, evidence-based interventions, and school-community mental health.","Dr. Perfect is an Assistant Professor in the School Psychology Program at the University of Arizona. Dr. Perfect received her doctorate in Educational Psychology (specialization: School Psychology) from the University of Texas at Austin and her Masters degree in Psychology from the New York University. She completed her APA-accredited pre-doctoral psychology internship at the University of Medicine and Dentistry in Newark, NJ. Afterward, she completed postdoctoral fellowships in pediatric psychology at the University of Texas Medical Branch in Galveston, TX and in health psychology and biostatistics at Scott & White Memorial Hospital in Temple, TX. She has also taken postdoctoral coursework in psychopharmacology. Her research focuses on the intersection of physical and mental health, with a particular focus on the impact of sleep and pediatric chronic illnesses on school, mental health, and neurobehavioral functioning. Dr. Perfect also engages in research and service activities aimed at addressing the educational and behavioral health needs of youth who have been maltreated or experienced trauma, preparing school psychologists to be competent to provide school and community mental health services to children and families, and to participate in general health promotion (e.g., sleep, obesity prevention, sexual health). In particular, she applies a positive psychology framework that examines resiliency in the face of adversities and mind-body interventions (e.g., Hypnosis, Mindfulness-Based Stress Reduction) that can promote the well-being in children. Dr. Perfect's teaching interests are in development, early childhood, therapy, evidence-based interventions, and school-community mental health.",,,,,,,,,,
winter,Expertise Applying the theory of stochastic processes to model surface and groundwater flows and to evaluate risks to environmental systems,Expertise Applying the theory of stochastic processes to model surface and groundwater flows and to evaluate risks to environmental systems,,,,,,,,,,
